time,P,I,D,ds,left speed,right speed
294,83330.000000,0.001844,0.000000,2370.001838,2370.001838,2370.001838
295,78720.000000,0.001849,0.000000,2640.001844,2640.001844,2640.001844
296,82900.000000,0.001854,0.000000,4330.001849,4330.001849,4330.001849
297,85110.000000,0.001860,0.000000,2930.001855,2930.001855,2930.001855
298,74120.000000,0.001865,0.000000,4190.001860,4190.001860,4190.001860
299,79850.000000,0.001870,0.000000,3800.001865,3800.001865,3800.001865
300,83820.000000,0.001876,0.000000,2980.001871,2980.001871,2980.001871
301,82760.000000,0.001882,0.000000,3080.001876,3080.001876,3080.001876
302,82540.000000,0.001887,0.000000,1910.001882,1910.001882,1910.001882
303,88570.000000,0.001893,0.000000,4910.001887,4910.001887,4910.001887
304,77650.000000,0.001898,0.000000,3640.001893,3640.001893,3640.001893
305,84820.000000,0.001904,0.000000,2720.001898,2720.001898,2720.001898
306,82170.000000,0.001909,0.000000,2590.001904,2590.001904,2590.001904
307,76970.000000,0.001914,0.000000,3310.001909,3310.001909,3310.001909
308,75280.000000,0.001919,0.000000,4130.001915,4130.001915,4130.001915
309,89280.000000,0.001925,0.000000,1760.001919,1760.001919,1760.001919
310,78060.000000,0.001930,0.000000,2560.001925,2560.001925,2560.001925
311,77670.000000,0.001936,0.000000,3410.001931,3410.001931,3410.001931
312,80990.000000,0.001941,0.000000,3520.001936,3520.001936,3520.001936
313,80300.000000,0.001946,0.000000,1400.001941,1400.001941,1400.001941
314,75420.000000,0.001951,0.000000,2680.001946,2680.001946,2680.001946
315,79600.000000,0.001956,0.000000,3700.001951,3700.001951,3700.001951
316,72510.000000,0.001961,0.000000,1190.001957,1190.001957,1190.001957
317,74210.000000,0.001966,0.000000,2390.001961,2390.001961,2390.001961
318,73970.000000,0.001971,0.000000,3530.001966,3530.001966,3530.001966
319,76680.000000,0.001976,0.000000,4910.001971,4910.001971,4910.001971
320,75200.000000,0.001981,0.000000,2800.001976,2800.001976,2800.001976
321,79460.000000,0.001987,0.000000,3530.001982,3530.001982,3530.001982
322,75570.000000,0.001992,0.000000,4750.001987,4750.001987,4750.001987
323,70730.000000,0.001996,0.000000,3140.001992,3140.001992,3140.001992
324,74500.000000,0.002001,0.000000,1610.001997,1610.001997,1610.001997
325,80760.000000,0.002007,0.000000,1600.002001,1600.002001,1600.002001
326,73110.000000,0.002012,0.000000,4390.002007,4390.002007,4390.002007
327,75160.000000,0.002017,0.000000,3310.002012,3310.002012,3310.002012
328,77330.000000,0.002022,0.000000,3010.002017,3010.002017,3010.002017
329,76620.000000,0.002027,0.000000,5340.002022,5340.002022,5340.002022
330,78250.000000,0.002032,0.000000,4030.002027,4030.002027,4030.002027
